,Bottle Name,Type,Winery,Designation,Region,Province,Country,Price,Rating,Sommelier,Sommelier Twitter Handle,Description,City Country,Longitude,Latitude
10,Kavaklidere 2010 Pendore Öküzgözü (Aegean),Okuzgozu,Kavaklidere,Pendore,,Aegean,Turkey,33.0,92.0,Mike DeSimone,@worldwineguys,"A nose of cherry, white peach and jalapeño sets the stage. Next, flavors of cherry, plum, sage and thyme work their way through the mouth with an interesting juxtaposition of fruit and savory notes. Super-soft, almost invisible tannins give way to a smooth finish hallmarked by notes of fresh minerality.","Aegean, Turkey",28.25983,36.84806
11,Kavaklidere 2010 Pendore Syrah (Aegean),Syrah,Kavaklidere,Pendore,,Aegean,Turkey,38.0,92.0,Mike DeSimone,@worldwineguys,"Aromas of black cherry, brambly berry, violet and oregano give way to sophisticated flavors of dark fruit, spice and leather. This nicely balanced Syrah offers harmonious tannins, with just a touch of grippiness, leading to a smooth, somewhat savory finish.","Aegean, Turkey",28.25983,36.84806
12,Tsantali 2008 Metoxi Chromitsa Limnio-Cabernet Sauvignon Red (Agioritikos),Red Blend,Tsantali,Metoxi Chromitsa Limnio-Cabernet Sauvignon,,Agioritikos,Greece,22.0,87.0,Susan Kostrzewa,@suskostrzewa,"Leather, dry spice rub and crushed green herb aromas start this Limnio/Cabernet blend from northern Greece. On the palate, the wine is spicy and dry, with earthy undertones of spicebox and forest floor. Pair with lamb or robust cheeses.","Agioritikos, Greece",,
13,Tsantali 2011 Metoxi Chromitsa X Single Vineyard Assyrtico-Athiri-Sauvignon Blanc White (Agioritikos),White Blend,Tsantali,Metoxi Chromitsa X Single Vineyard Assyrtico-Athiri-Sauvignon Blanc,,Agioritikos,Greece,25.0,86.0,Susan Kostrzewa,@suskostrzewa,"Candied lemon and lush tropical fruits start this Assyrtiko, Athiri blend from an established producer in northern Greece. Fresh, fun and slightly sweet on the palate, the wine has a softer, more feminine touch than many Greek whites. Great with lighter fare like salads and grilled seafood.","Agioritikos, Greece",,
14,Tsantali 2011 Metoxi Chromitsa X Single Vineyard Assyrtico-Athiri-Sauvignon Blanc White (Agioritikos),White Blend,Tsantali,Metoxi Chromitsa X Single Vineyard Assyrtico-Athiri-Sauvignon Blanc,,Agioritikos,Greece,25.0,86.0,Susan Kostrzewa,@suskostrzewa,"Candied lemon and lush tropical fruits start this Assyrtiko, Athiri blend from an established producer in northern Greece. Fresh, fun and slightly sweet on the palate, the wine has a softer, more feminine touch than many Greek whites. Great with lighter fare like salads and grilled seafood.","Agioritikos, Greece",,
15,Meyer-Näkel 2013 Blauschiefer Spätburgunder (Ahr),Spätburgunder,Meyer-Näkel,Blauschiefer,,Ahr,Germany,50.0,93.0,Anna Lee C. Iijima,,"Spice and black plums are touched with hints of purple flowers and beet root in this ripe, supple Pinot Noir. Richness is offset by bright acidity and a fine, but firm, frame of tannins. It's an elegant wine with evenhanded grace.","Ahr, Germany",6.9477258,50.4728741
16,Meyer-Näkel 2013 S Spätburgunder (Ahr),Spätburgunder,Meyer-Näkel,S,,Ahr,Germany,85.0,93.0,Anna Lee C. Iijima,,"Plump, fleshy black cherry and berry flavors command this ripe, lusciously textured wine. It's unabashedly forward in fruit, but is still an elegant, nuanced wine shaded by lingering tones of spice, crushed rock and smoke. Cranberry acidity extends through a long, persistent finish. Ready to drink now but should improve through 2021.","Ahr, Germany",6.9477258,50.4728741
17,Meyer-Näkel 2013 Spätburgunder (Ahr),Spätburgunder,Meyer-Näkel,,,Ahr,Germany,33.0,92.0,Anna Lee C. Iijima,,"Swathes of violet and lavender scent this pretty Spätburgunder, or German Pinot Noir, highlighting a rich, sultry black cherry palate. Tart cranberry tones brighten the midpalate. Subtle tones of oak and spice, with a flurry of soft tannins accompany a moderately long finish.","Ahr, Germany",6.9477258,50.4728741
18,Casa Santos Lima 2013 Quinta das Setencostas Red (Alenquer),Portuguese Red,Casa Santos Lima,Quinta das Setencostas,,Alenquer,Portugal,11.0,90.0,Roger Voss,@vossroger,"From a small sub-region of Lisboa, this stylish, structured wine is firm and tannic. It has plenty of ripe berry fruit to balance the tannins as well as acidity that cuts through the richness of the wine. It is ready to drink.","Alenquer, Portugal",-9.0076057,39.056633
19,Casa Santos Lima 2013 Quinta das Setencostas Red (Alenquer),Portuguese Red,Casa Santos Lima,Quinta das Setencostas,,Alenquer,Portugal,11.0,90.0,Roger Voss,@vossroger,"From a small sub-region of Lisboa, this stylish, structured wine is firm and tannic. It has plenty of ripe berry fruit to balance the tannins as well as acidity that cuts through the richness of the wine. It is ready to drink.","Alenquer, Portugal",-9.0076057,39.056633
20,Casa Santos Lima 2009 Quinta das Setencostas Red (Alenquer),Portuguese Red,Casa Santos Lima,Quinta das Setencostas,,Alenquer,Portugal,8.0,87.0,Roger Voss,@vossroger,"This is a spicy, rich, smooth wine, immediately attractive and ready to drink. It has ripe tannins, black fruits in abundance and delicious acidity to give a lift. It's a classic barbecue wine and great for summer parties.","Alenquer, Portugal",-9.0076057,39.056633
21,Luis Duarte 2011 Rubrica Red (Alentejano),Portuguese Red,Luis Duarte,Rubrica,,Alentejano,Portugal,40.0,95.0,Roger Voss,@vossroger,"One of Portugal's top reds, this is a richly endowed wine. Ripe fruits are cut with fresh acidity, dark tannins and signs of judicious wood aging. It shows elegance, style and a rich aftertaste. Drink this great wine from 2018.","Alentejano, Portugal",-7.587096,38.84217
22,Luis Duarte 2014 Rubrica Tinto Red (Alentejano),Portuguese Red,Luis Duarte,Rubrica Tinto,,Alentejano,Portugal,50.0,95.0,Roger Voss,@vossroger,"Six grapes are in the blend of this generous, opulent wine. It has fine, velvet-smooth tannins, with a background dryness that gives structure. Black fruits shine through, enhanced by the spice and toast of the wood aging. Drink from 2019.","Alentejano, Portugal",-7.587096,38.84217
23,Mouchão 2007 Red (Alentejano),Portuguese Red,Mouchão,,,Alentejano,Portugal,36.0,95.0,Roger Voss,@vossroger,"A powerful and dense wine, showing some rustic character, big red fruit and dark tannins. This superb wine has weight and concentration, balanced acidity and a growing sense of maturity. This wine from the legendary Mouchão estate needs considerable aging; drink from 2018.","Alentejano, Portugal",-7.587096,38.84217
24,Mouchão 2012 Red (Alentejo),Portuguese Red,Mouchão,,,Alentejo,Portugal,75.0,97.0,Roger Voss,@vossroger,"The estate wine from Mouchão is always a great wine. This latest release, almost black in color and five-years-old, is hugely rich, powered by black fruits and juicy acidity. Made principally from Alicante Bouschet, it shows the power and the aging potential of this variety in the Alentejo. This wine, foot-trodden in open stone lagars, is destined for much longer aging. Drink at the earliest in 2021.","Alentejo, Portugal",-8.027353044950193,38.49104545
25,Mouchão 2011 Red (Alentejo),Portuguese Red,Mouchão,,,Alentejo,Portugal,55.0,96.0,Roger Voss,@vossroger,"Although there is some Trincadeira in the blend, this legendary wine is really a paean to Alicante Bouschet. Produced in traditional open stone fermenters, it exudes power and density. Black plum and berry fruit contends with concentrated tannins that are still very much in evidence. Determinedly old style in approach, it will age for many years. Drink from 2021.","Alentejo, Portugal",-8.027353044950193,38.49104545
26,Cartuxa 2013 Pêra-Manca Branco White (Alentejo),Portuguese White,Cartuxa,Pêra-Manca Branco,,Alentejo,Portugal,52.0,95.0,Roger Voss,@vossroger,"The name of the wine goes back to the 15th century when it was exported to the Portuguese colonies. It is an iconic wine in Portugal; the white is a blend of Antão Vaz and Arinto. Aged in wood, it has density and concentration as well as opulent yellow fruit and pear flavors. It is a beautiful wine, rich while also so stylish. Drink from 2018.","Alentejo, Portugal",-8.027353044950193,38.49104545
27,Adega Cooperativa de Borba 2013 Branco Reserva White (Alenteo),Portuguese White,Adega Cooperativa de Borba,Branco Reserva,,Alenteo,Portugal,18.0,88.0,Roger Voss,@vossroger,"With the normally more northern Alvarinho in the blend, this wine has considerable freshness. That is mitigated by the wood aging that has broadened the wine and brought out tropical and yellow fruit flavors. The wine is ready to drink.","Alenteo, Portugal",,
28,Casa Santos Lima 2014 Al-Ria Reserva Red (Algarve),Portuguese Red,Casa Santos Lima,Al-Ria Reserva,,Algarve,Portugal,35.0,90.0,Roger Voss,@vossroger,"The southern coastal region of Algarve is better known for beaches than for wine. This blend of Touriga Nacional and Syrah with long wood aging comes from the east of the region and shows great warmth as well as black plum fruit flavors. The juicy fruitiness is balanced by the youthful structure, showing the aging potential of the wine. Drink from 2017.","Algarve, Portugal",-8.15076634627543,37.24480855
29,Casa Santos Lima 2016 Rabo de Galo Red (Algarve),Portuguese Red,Casa Santos Lima,Rabo de Galo,,Algarve,Portugal,20.0,88.0,Roger Voss,@vossroger,This rich wine comes from the far south of Portugal. It is structured and dense with black-plum fruit and firm tannins. Spice and grilled toast from wood aging and acidity gives this wine a good balance as well as ripeness. Drink now.,"Algarve, Portugal",-8.15076634627543,37.24480855
30,Casa Santos Lima 2016 Rabo de Galo Red (Algarve),Portuguese Red,Casa Santos Lima,Rabo de Galo,,Algarve,Portugal,20.0,88.0,Roger Voss,@vossroger,This rich wine comes from the far south of Portugal. It is structured and dense with black-plum fruit and firm tannins. Spice and grilled toast from wood aging and acidity gives this wine a good balance as well as ripeness. Drink now.,"Algarve, Portugal",-8.15076634627543,37.24480855
31,Domaine Zind-Humbrecht 2015 Clos Saint Urbain Rangen de Thann Grand Cru Riesling (Alsace),Riesling,Domaine Zind-Humbrecht,Clos Saint Urbain Rangen de Thann Grand Cru,Alsace,Alsace,France,120.0,97.0,Anne Krebiehl MW,@AnneInVino,"Smoke, orange, wet stone and earth notes are powerful and beguiling on the nose. The palate has absolute concentration and energy and more of that smoky promise. This is like the bundled focus of a laser light—incisive, precise and piercing. Notions of peach, lemon and tangerine dance and hover, but the central core and force remains a kind of drive that could move mountains. This is a sleeping giant, absolute and pure, brooding, laying in wait to unleash its might. The palate is absolutely dry, absolutely fresh, absolutely uncompromising. The finish is piercingly clean. Wait for this. Drink 2025–2040 at least.","Alsace, France",2.1756077752742797,48.684872850000005
32,Domaine Ostertag 2015 Muenchberg Grand Cru Riesling (Alsace),Riesling,Domaine Ostertag,Muenchberg Grand Cru,Alsace,Alsace,France,66.0,97.0,Anne Krebiehl MW,@AnneInVino,"There is something incredibly fruity and simultaneously tart on the nose: It is reminiscent of honeyed deaf nettle blossom as well as passion fruit. Wet stone and lemon heighten these perceptions even more. The palate comes in with concentrated zestiness—there almost is a sobering edge of bitter pith that pulls us towards the earth while the soaring lemon and grapefruit notes lift towards the light. This is fruitful promise and airy spirit, earthy depth and boundless richness. All this comes as a bundled force of joy, freshness and utter pleasure. That beguiling, lemony wet stone appears again on the dry intense finish of this elixir-like wine which perhaps has not only captured the light of the sun but that of the stars, too. Drink 2022–2040.","Alsace, France",2.1756077752742797,48.684872850000005
33,René Muré 2015 Clos Saint Landelin Vorbourg Grand Cru Riesling (Alsace),Riesling,René Muré,Clos Saint Landelin Vorbourg Grand Cru,Alsace,Alsace,France,50.0,97.0,Anne Krebiehl MW,@AnneInVino,"The heady aromatic scent of fresh tangerine peel takes turns with the refreshing perfume of green Seville oranges. The palate takes these enticing aromas and bundles them into one arrow-like force of concentrated freshness. This is a high-wire act of piercing brightness and layered citrus aroma. This is like a self-generating well of freshness that convinces with its luminosity, raciness and rapier-like purity of citrus flavors. Everything is heightened: Fruit, dryness, freshness and vibrant verve. It is tempting but it would be a shame to drink this now. Keep this genie in its bottle for a while longer, if only to see what fascinating direction it takes. This is wondrous. Drink 2022–2037.","Alsace, France",2.1756077752742797,48.684872850000005
34,Panther Creek 1998 Shea Vineyard Pinot Noir (America),Pinot Noir,Panther Creek,Shea Vineyard,,America,United States,48.0,94.0,,,"Brilliant aromatics rise up in layers of fruit, mineral, nutmeg and clove notes. The full, round mouthfeel doesn't confuse weight with intensity. Tart cherry, tar and dried flowers on the palate play into to a seductive finish where the cherry and licorice elements dance on and on. American grand cru Pinot Noir.","America, United States",-94.5485423,33.8153914
35,Sokol Blosser NV Evolution White (America),White Blend,Sokol Blosser,Evolution,,America,United States,15.0,91.0,Paul Gregutt,@paulgwine ,"A nonvintage blend, the Evolution is as clever as it gets. This 18th edition (the edition numbers serve a similar function to a vintage date) melds several different grapes into an aromatic, lushly detailed whole. Stone and tropical fruits abound, loading the palate with flavors of peaches, cream and lemon meringue. It's thoroughly delicious without a hint of wood.","America, United States",-94.5485423,33.8153914
36,Château Élan 2013 Reserve Cabernet Sauvignon (America),Cabernet Sauvignon,Château Élan,Reserve,,America,United States,40.0,91.0,Jim Gordon,@gordone_cellars,"Muscular but not overpowering, this concentrated and full-bodied wine is packed with both lavish fruit flavors and layers of fine tannins that seem to coat the tongue. It's astringent, but this aspect is balanced by almost sweet blackberry flavors and a luxurious and spicy vein of oak.","America, United States",-94.5485423,33.8153914
37,Ioannis Hatzis 2004 Xinomavro (Amindeo),Xinomavro,Ioannis Hatzis,,,Amindeo,Greece,20.0,84.0,Susan Kostrzewa,@suskostrzewa,"The difficult Xinomavro grape is wrangled well by talented winemaker Hatzis, though the wine feels slightly discordant. Aromas and flavors of olive, pepper, spice and tart berry offer intriguing layers, and the finish has  sweet spice.","Amindeo, Greece",21.6790753,40.6897584
38,Ioannis Hatzis 2001 Kelinos Xinomavro (Amindeo),Xinomavro,Ioannis Hatzis,Kelinos,,Amindeo,Greece,35.0,83.0,Susan Kostrzewa,@suskostrzewa,"This Xinomavro, with its compelling nose of coffee, cinnamon spice and olive, has a rough character that both distinguishes it (showing its Greek blood) and makes it tough to embrace. Tannic and slightly tart, with an underlay of spice, the wine wants more balance and less barb.","Amindeo, Greece",21.6790753,40.6897584
39,Alpha Estate 2007 Reserve Vieilles Vignes Xinomavro (Amyndeon),Xinomavro,Alpha Estate,Reserve Vieilles Vignes,,Amyndeon,Greece,38.0,87.0,Susan Kostrzewa,@suskostrzewa,"A stately nose of black cherry, cocoa powder, black pepper and vanilla lead this impressive red from Amyndeon. On the palate, balanced elements of tobacco, cherry, black pepper and spice are both assertive and elegant. Integrated but with some power, this wine can age or be enjoyed now.","Amyndeon, Greece",,
40,Alpha Estate 2008 Hedgehog Vineyard Xinomavro (Amyndeon),Xinomavro,Alpha Estate,Hedgehog Vineyard,,Amyndeon,Greece,24.0,87.0,Susan Kostrzewa,@suskostrzewa,"This cheerful wine starts with a bright cherry and vanilla nose, followed by flavors of raspberry, strawberry, vanilla and smoke. Integrated and easy-drinking, it's a good go-to wine for everything from pizza to a more serious steak entrée.","Amyndeon, Greece",,
41,Alpha Estate 2010 Reserve Vieilles Vignes Unfiltered Xinomavro (Amyndeon),Xinomavro,Alpha Estate,Reserve Vieilles Vignes Unfiltered,,Amyndeon,Greece,38.0,87.0,Susan Kostrzewa,@suskostrzewa,"Cedar, cinnamon and black cherry aromas offer friendly and generous appeal here. The wine is fruit-forward and friendly with blueberry, black cherry and pepper on the palate. An easy drinking but elegant choice.","Amyndeon, Greece",,
42,Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear,Solera 1927,Montilla-Moriles,Andalucia,Spain,30.0,96.0,Michael Schachner,@wineschach,"One of the world's best PX wines is Solera 1927, the pride of Alvear. Whatever solera stocks went into this bottling were well selected. Aromas of maple and fine wood turn to fig and caramel. Saturation and weight on the palate are expected, but this has some (though not a lot) acidic cut. Deep flavors of fig and Nutella finish with nuttiness and warmth. Drink or hold.","Andalucia, Spain",-4.5811614,37.3399964
43,Bodegas Hidalgo NV Vinos Viejos de Hidalgo Triana 30 Years Old Pedro Ximénez (Jerez),Pedro Ximénez,Bodegas Hidalgo,Vinos Viejos de Hidalgo Triana 30 Years Old,Jerez,Andalucia,Spain,149.0,95.0,Michael Schachner,@wineschach,"Nothing besides glorious dried fig and raisin aromas are the greeting on this brown, lusty, sweet Sherry. Given the nose, it's no surprise that this is syrupy and rich in feel, although fine acidity creates impeccable balance. Flavors of caramel, toffee, salt, raisin and fig finish long, rich and chocolaty.","Andalucia, Spain",-4.5811614,37.3399964
44,Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear,Solera 1927,Montilla-Moriles,Andalucia,Spain,25.0,94.0,Michael Schachner,@wineschach,"A rank well above most PX sweeties, with lush but fresh aromas of raisin and spice that are distinctly not syrupy or heavy. Feels thick, but there's enough acidity to cut through the wine's weight. Flavors of caramel and chocolate are ideal, and the finish is smooth, not heavy, and has bounce in its step. A beautiful PX any way you cut it.","Andalucia, Spain",-4.5811614,37.3399964
45,Vinkara 2014 Yasasin Kalecik Karasi (Ankara),Kalecik Karasi,Vinkara,Yasasin,,Ankara,Turkey,40.0,91.0,Mike DeSimone,@worldwineguys,"Said to be the first traditional method sparkling wine produced in Turkey, this is made from Kalecik Karasi, an indigenous red grape. It delivers a bouquet of Granny Smith apple, ripe peach and white flowers. These are followed by a strong sense of effervescence and flavors of nectarine, lemon, green apple and rose petal, with the faintest sense of sweetness. It is zesty and alive, culminating in a lingering peach-pie finish.","Ankara, Turkey",32.8540482,39.9207886
46,Kavaklidere 2011 Prestige Kalecik Karasi (Ankara),Kalecik Karasi,Kavaklidere,Prestige,,Ankara,Turkey,40.0,91.0,Mike DeSimone,@worldwineguys,"Made of 100% Kalecik Karasi, this wine is deep garnet to the eye, offering aromas of cherry, shale and orange zest. It fills the mouth with flavors of raspberry jam, orange marmalade, chocolate, anise and smoke. Velvety tannins continue into the cool anise-laden finish, with a touch of lemon zest making its appearance at the final moment.","Ankara, Turkey",32.8540482,39.9207886
47,Vinkara 2011 Reserve Boğazkere (Ankara),Boğazkere,Vinkara,Reserve,,Ankara,Turkey,30.0,91.0,Mike DeSimone,@worldwineguys,"Inky garnet to the eye, this wine offers aromas of cherry, black currant and orange peel. Flavors of blackberry, cassis, white chocolate, bell pepper and violet come alive on the palate amid mouth-coating tannins and nice savory notes. The finish is characterized by a lingering touch of orange zest.","Ankara, Turkey",32.8540482,39.9207886
48,Lapostolle 2014 Le Petit Clos Red (Apalta),Red Blend,Lapostolle,Le Petit Clos,,Apalta,Chile,61.0,92.0,Michael Schachner,@wineschach,"A black color and baked ripe-fruit aromas are the greeting on this second wine to Clos Apalta. While this blend of Cabernet Sauvignon, Carmenère, Merlot and Petit Verdot feels soft along the edges, it's propped up by tartaric acidity. Blackened flavors of saturated blackberry and cassis maintain lush ripeness across the finish. Drink through 2020.","Apalta, Chile",-70.868125,-34.3392193
49,Lapostolle 2011 Collection Unfiltered Mourvèdre (Apalta),Mourvèdre,Lapostolle,Collection Unfiltered,,Apalta,Chile,30.0,92.0,Michael Schachner,@wineschach,"Complete and satisfying, this Mourvèdre delivers punchy, alluring aromas of leather, rubber and dark berry fruits. This is deep and pure in the mouth, with excellent balance. Flavors of raspberry, spiced plum, currant and herbs finish long and elegant. Drink through 2018.","Apalta, Chile",-70.868125,-34.3392193
50,Santa Rita 2008 Pehuén Carmenère (Apalta),Carmenère,Santa Rita,Pehuén,,Apalta,Chile,70.0,91.0,Michael Schachner,@wineschach,"With cool, herbal aromas of cola, pine, juniper, fine oak and savory berry fruits, this is a fine Carmenère. The palate is full, deep and still fresh after several years in the bottle. Flavors of stewed cherry, baked plum and cassis come with no shortage of savory support, while the finish is saucy in taste, with raciness, gravitas and length. Drink through 2018.","Apalta, Chile",-70.868125,-34.3392193
51,Ktima Driopi 2005 Reserve Agiorgitiko (Arcadia),Agiorgitiko,Ktima Driopi,Reserve,,Arcadia,Greece,40.0,87.0,Susan Kostrzewa,@suskostrzewa,"Blueberry, pepper and cedar aromas and flavors dominate in this structured, elegant red. The wine finishes long with spice and dark cherry notes. A collectible wine that will pair well with poultry, game.","Arcadia, Greece",25.35592,41.14408
52,Page Springs 2011 Arizona Stronghold Vineyard Clone 383 Syrah (Cochise County),Syrah,Page Springs,Arizona Stronghold Vineyard Clone 383,Cochise County,Arizona,United States,45.0,88.0,,,"Leather and Spanish cedar notes meld with pomegranate, blackberry and fennel seed scents. This medium- to full-bodied wine is soft and succulent, bolstered by fine, firm tannins. Only 50 cases produced.","Arizona, United States",-111.763275,34.395342
53,Pillsbury 2011 Wild Child Red Red (Cochise County),Red Blend,Pillsbury,Wild Child Red,Cochise County,Arizona,United States,20.0,87.0,,,"Ripe scents of spiced wild strawberry, raspberry and herbal tea lead onto the lush medium- to full-bodied palate, which tastes concentrated and lively. The long finish is marked by a tangy orange-zest note.","Arizona, United States",-111.763275,34.395342
54,Page Springs 2010 ECIPS Table Wine Red (Arizona),Red Blend,Page Springs,ECIPS Table Wine,Arizona,Arizona,United States,32.0,87.0,,,"Smoky and peppery notes hit the nose first, suggestive of the 21% Syrah in the blend. Notes of oregano and roasted tomato quickly surface. This is a medium-full wine, with a flavor of plum that imbues the lithe core. The defined tannins give it traction.","Arizona, United States",-111.763275,34.395342
55,Van Ardi 2015 Estate Bottled Rosé (Armenia),Rosé,Van Ardi,Estate Bottled,,Armenia,Armenia,15.0,88.0,Mike DeSimone,@worldwineguys,"Deep salmon in color, this wine offers a bouquet of cantaloupe and nectarine. It is bright on entry, with full mouthfeel and flavors of pineapple, grapefruit and white peach that culminate in a bright citrus finish.","Armenia, Armenia",44.6736646,40.7696272
56,Van Ardi 2015 Estate Bottled Kangoun (Armenia),Kangoun,Van Ardi,Estate Bottled,,Armenia,Armenia,14.0,87.0,Mike DeSimone,@worldwineguys,"Medium straw in the glass, this wine has a nose of pineapple and white melon. Soft on the palate, it offers flavors of grapefruit, papaya and rose. Lingering brightness on the finish is bolstered by a hint of pear.","Armenia, Armenia",44.6736646,40.7696272
57,Hatzimichalis 2015 Assyrtiko (Atalanti Valley),Assyrtiko,Hatzimichalis,,,Atalanti Valley,Greece,12.0,91.0,Susan Kostrzewa,@suskostrzewa,"This is a distinctive white with a combination of spice, tropical fruit and a chalky backbone. The wine is elegant and ageable and will appeal to fans of classic French whites like Chablis. Pair with grilled octopus or oysters for added appeal.","Atalanti Valley, Greece",28.061782,36.336956
58,Hatzimichalis 2008 Kapnias Vineyard Zygos Cabernet Sauvignon (Atalanti Valley),Cabernet Sauvignon,Hatzimichalis,Kapnias Vineyard Zygos,,Atalanti Valley,Greece,24.0,91.0,Susan Kostrzewa,@suskostrzewa,"Aromas of red fruit, vanilla and cigarbox start this Cabernet Sauvignon from Greece. Its flavors are rich but balanced—cinnamon, cedar, cherry and savory spice—and the wine finishes clean and dry. Elegant with ageable potential.","Atalanti Valley, Greece",28.061782,36.336956
59,Hatzimichalis 2007 Estate Hatzimichalis Cabernet Sauvignon (Atalanti Valley),Cabernet Sauvignon,Hatzimichalis,Estate Hatzimichalis,,Atalanti Valley,Greece,20.0,88.0,Susan Kostrzewa,@suskostrzewa,"Currants, cherry and cocoa aromas give this Cabernet a luscious start. On the palate, a smoky wave of cherry, blackberry and cedar is both exotic and likeable. This is a tight wine but has appealing fruit accents.","Atalanti Valley, Greece",28.061782,36.336956
60,Bracco Bosca 2016 Ombú Reserve Tannat (Atlantida),Tannat,Bracco Bosca,Ombú Reserve,,Atlantida,Uruguay,21.0,88.0,Michael Schachner,@wineschach,"Oaky spice aromas are up front on a nose that also shows berry and prune notes. This is fleshy and tannic in feel. Flavors of blackberry, wood grain and chocolate finish dry and firm, with wood-spice flavors.","Atlantida, Uruguay",-55.7605883,-34.7743888
